"","x"
"6310bd545c25bc818bce75d76bc259a1",0.444444444444444
"0b14e620eaf821bbcda03dab23440064",0.111111111111111
"1583d8af9fd9cb078f88c0e1a8b8a888",1
"3fa2974b1f70109275811beb1ae321c9",1
"c69352f1a000317323fd8841f1007691",0.666666666666667
"cf3381318906e1e08f58bca905636dc0",1
"98f53519513214e968c569829a1471bb",1
"a5e4fa1c4fdfceff6877d2ba21ae0b91",0.333333333333333
"7beab4f249af89a8aab102a03113ba62",0.333333333333333
"801efb14d6457f799fd2becee6d07b72",1
"d23dbaf26dbe6cf1224e2d377b9b326b",0.111111111111111
"9d5fa8335722caf15c7501355831afdd",0.555555555555556
"2dd9a81f0dd4c6bac998196fce1c914a",0.111111111111111
"d40d89b5dcf64f7918b4d54234b2f2d6",0.111111111111111
"dbea439850c165b8588f640c3959636a",0.444444444444444
"344b7cd3d03900be1ba404d93cc46f48",0.333333333333333
"a6db2d87f1e7a32216e5041a1920f12e",1
"733b45a9acaf76b1662c9cc75784dfb4",0.777777777777778
"6daaa6b7c7dc9582224e92c5d7d47c5d",0.222222222222222
"3eef12286c142030d497dc480cc49332",0.555555555555556
"4ef19fc863b7ff2cd97e5007547ddf7a",0.555555555555556
"705df1f2043b0f52e695812e5fea7b10",0.666666666666667
"b86bcfa10c4260f2876ec57733382483",0.333333333333333
"f1e34308d952529287ada31976faec95",1
"8b1b6b50ee8e9d52ac980948823b441f",1
"3e5cc4006667756b128e551a166d5861",1
"b93f0c1f2e8178c7ce1d957ab357dd77",0.222222222222222
"b396df71ff4bad780a6862032851bce5",0.666666666666667
"efbe1f58b1e2984ddc53a64f047d94ff",1
"83c246c4ed456dea2a15d054f16009b3",1
"7af6ae689696e9ea838fbb88ee9afb78",0.666666666666667
"acc9603a819dc23a606ac6c1b9105b6d",1
"2bb6b66b5872ff20a6ee6f12a8bb21b9",0.111111111111111
"e416d0916760d2fc17b616e2ac3ad855",0.888888888888889
"1e104b993416995498346089f57fd3bf",1
"ddfd49f939f92958b1ec816741055348",0.333333333333333
"7a4067bb733ba1b9dccbe34f15d4662d",0.111111111111111
"8a37f09de6e1b34a1825a0fa7d7df873",0.111111111111111
"27af011f1ebcc0867bb168193e6a9d27",0.888888888888889
"c1d9eada909d2d5dbe078f25f1038508",0.888888888888889
"5ed8f8f3a98e669d81b30c56825e0870",1
"2385de7fae2f46cd967304ba322e587b",0.333333333333333
"5c21f017407dbb74aea300b42e85dd30",0.444444444444444
